P,t
6.474757456,0.730713886
4.799977793,1.278842054
7.280304713,0.47165587
7.170257809,0.886495498
7.737091752,0.557394276
5.328620956,1.637777665
43.90724454,2.852152195
40.99545753,2.837306551
6.970825407,1.763975227
12.03612905,1.995486926
5.13425042,0.744833787
20.93090768,2.452714121
4.320536562,0.854231594
17.71000765,2.3375121
4.333046025,1.324616175
43.07551243,2.911832341
28.33157685,2.630193204
12.09230023,2.162362576
22.49334611,2.448770788
3.699060504,1.507804987
18.48640069,2.244454219
21.07145888,2.50522117
3.321813464,1.542190168
5.877700753,1.718952911
5.67033836,1.382105835
15.27681327,2.230329049
4.069809948,1.276279322
3.216096193,1.268998903
4.200472909,1.011211422
23.8894989,2.502048941
8.592293268,1.882072065
4.104001138,1.180555685
13.03484582,2.098717756
9.651858289,0.088439731
2.439700974,1.061014675
8.088866694,0.555902056
31.70718195,2.66334384
31.27535197,2.648266181
46.95306722,2.915267219
3.547142405,1.044799204
6.194287961,1.737196435
5.585936956,1.339710632
37.12858878,2.748144482
21.76951906,2.467644055
4.38065776,1.512173217
6.350140443,1.097683763
3.938265677,0.901102355
4.649533935,1.779466335
8.282639776,0.093075091
29.43883538,2.550367656
5.054302314,1.756604452
3.801494165,1.406416384
5.179620998,1.631306796
8.904092254,0.295187301
9.183097107,2.063979804
10.79214213,0.125986511
5.876468128,1.903547752
6.956761602,0.605983505
9.917830526,0.049850725
9.86223168,1.980017162
7.576064513,0.157667206
31.82614822,2.643396176
8.574902476,1.974997689
3.642866204,1.588776849
37.75390335,2.804383493
4.762998609,1.248141134
10.37754756,2.122709863
14.01021205,2.176817167
25.41844609,2.478515916
10.90296455,0.107802521
51.35660146,2.983372515
4.861680865,1.054962224
9.611811402,0.226040188
6.423641182,1.255031638
5.323219016,1.034269895
7.703603964,0.416785481
5.762499423,1.528567598
5.439584916,0.869764604
24.61137288,2.483976517
5.620477966,1.664681263
2.465396563,1.384877398
9.084788781,0.112805067
22.88108031,2.411922344
17.97332654,2.330935819
8.226763478,0.556657246
5.887735358,0.814634101
6.904558598,0.783451643
25.54048029,2.530316796
4.009435489,1.413742913
47.24488497,2.92885373
2.866263439,1.083354038
8.074074312,0.638707381
4.826156676,0.851749083
10.6464028,2.03792059
28.82699006,2.593583259
30.07781187,2.600147338
13.34934686,2.167925328
21.64297377,2.451157482
14.34022807,2.211669632
8.854924948,1.944389789
9.748631598,0.275962804
4.29789517,1.582744098
9.204562239,0.171907477
2.338404587,1.424324541
18.19836468,2.362264043
5.382825575,1.830383644
27.72004342,2.604214616
9.111263907,0.025546286
9.783011832,0.294396407
6.47203387,0.119985117
29.52187703,2.581913014
8.375433559,0.393290298
1.450914635,1.172105172
10.14994526,0.347252029
39.71019333,2.774462284
12.16637666,2.244475639
9.623158305,2.022955961
29.30174746,2.652205265
3.416080251,1.411017402
7.821514415,0.515794665
7.989000993,1.751606986
5.616184638,1.808918741
4.474560238,1.09134481
4.612807578,1.173248494
0.858256745,1.369799042
10.10171909,0.327092219
6.906449502,1.619183304
4.899129303,1.522802429
28.10147351,2.572515272
8.516435039,2.079245643
27.32256651,2.595681832
12.26099421,0.117729235
5.14758033,0.89994146
6.536728246,1.391838728
52.62858273,2.993330345
12.75577563,2.163277823
27.22382934,2.614669982
4.795273103,0.590594169
3.231701804,1.505177127
4.344289396,1.830257611
6.707259195,1.867237538
17.90603336,2.25462891
4.278165982,1.063960147
9.404033172,0.617860883
52.47066207,2.999490187
7.597175833,1.073828985
32.24490428,2.69543509
7.737021207,1.613338842
9.566101221,0.087549074
26.58182521,2.609077397
8.316258495,2.048854839
46.03034623,2.956327298
27.59457929,2.607291923
12.58859393,2.258696046
38.56106753,2.761641146
30.99065917,2.62851049
8.409315021,1.655987321
5.425569552,1.699557068
6.166223586,1.017802689
4.197197156,1.247293646
10.41905413,0.090828514
28.91796237,2.592165368
5.779066925,1.104989332
5.269599979,0.932716423
4.194370453,1.005870952
25.7577878,2.532500393
8.445021662,0.525173237
7.715277794,1.749678297
8.419270058,1.854163905
44.23458887,2.846442402
19.74705536,2.336350304
4.336743766,0.968501705
8.00108101,1.246095768
13.65121053,2.161470233
6.931209507,0.50415035
19.81799816,2.337939889
11.40504757,0.047330538
9.241759587,0.222203568
28.21345397,2.566840972
8.924697658,0.353937668
11.15275929,2.024955764
16.45424377,2.238066691
11.41580961,2.235458513
6.971796242,0.749629955
9.20485455,0.606552807
14.32806901,2.070601525
7.177962865,0.721357693
5.672291865,1.792410724
7.767448637,1.932139574
10.74761897,2.032287828
6.522817637,0.515705834
2.278963862,1.83618811
36.07580715,2.727148068
12.30566246,1.911780235
7.417238309,1.86646354
10.25786958,1.965673208
9.453812341,0.087364639
5.226233934,1.344249789
8.80083969,0.491893257
3.404030475,1.459487082
